,source,headline,date,body,topics,Business,Culture,Nature,Politics,Society,Sport
0,Iceland Review,Custody of Domestic Terror Suspects Extended by Two Weeks,2022/11/11,"The two individuals suspected of planning a domestic terror attack will be held in custody for another two weeks, Vísir reports. A defence attorney has called the decision “incomprehensible” in light of a psychiatric assessment that held that the men were neither a danger to themselves nor others. Four Icelandic men were arrested on September 21 suspected of “terrorist plots” against state institutions and civilians. Two of the suspects were immediately released; the other two have remained in custody. According to the police, the suspects had hoarded numerous weapons – including dozens of semi-automatic guns and 3D-printed components – alongside a considerable amount of ammunition. The men, both of whom are in their twenties, had discussed carrying out attacks against political figures, among them Minister Guðlaugur Þór Þórðarson and Chairman of Efling, Sólveig Anna Jónsdóttir. As noted by Vísir yesterday, the two men were initially placed in custody on the basis of investigative interests, but the current extension, as confirmed by the Reykjavík District Court, was predicated on public interest, with the men believed to be a danger to the public. In an interview with Vísir yesterday, Sveinn Andri Sveinsson, defence attorney for one of the men, stated that the decision was founded on a threat analysis carried out by the National Police Department. “I’ve criticised the fact that the threat assessment, which actually predated the psychiatric assessment, did not take the psychiatric assessment into account.” According to Sveinn, the psychiatrist who carried out the assessment at the behest of the police did not believe the men to be a threat to themselves or others. The District Court, however, did not take this assessment into account. Sveinn Andri added that his client would be appealing the District Court’s decision, which was a big disappointment, to the Court of Appeal. “It’s always disappointing for individuals who are in custody without good reason to have to remain in custody. But we’ll simply have to deal with it and try to have the decision overturned in the Court of Appeals. That would be ideal.” In late October, Sveinn Andri Sveinsson dismissed private messages between the suspects as a “failed attempt at humour,” adding that he did not believe that either of the men would be charged with planning a terrorist attack.",Society,0,0,0,0,1,0
1,Iceland Review,Optimism for Icelandic Language in the Digital Age,2022/11/10,"The integration of the Icelandic language into digital services and devices has improved rapidly over the last few months, with large leaps in speech recognition. Nana Bule, a representative for Microsoft, stated to RÚV: “We’ve been fortunate enough to have really high quality data sets on the Icelandic language, which means that we’ve in very short time improved language recognition for Icelandic by 32%. Which may sound small, but is actually a very big improvement that would normally have taken 5 to 10 years.” Earlier this May, an Icelandic delegation including President Guðni Th. Jóhannesson and Minister of Culture and Trade Lilja D. Alfreðsdóttir met with American tech companies to discuss the further integration of the Icelandic language into digital services and devices. Following the May meetings, representatives from Microsoft have been visiting Iceland this week to report on progress made. Now, the meetings seem to be bearing fruit, with surprisingly fast improvements for the integration of Icelandic into digital services. Mrs. Bule stated that Icelanders will soon be able to speak Icelandic to their devices without a problem. Bule also stated with regard to speech recognition: “We can already do that today, but my hope is that in the future, we will be able to do it much more fluently. In the future, an interview could be you asking me questions in Icelandic, me answering in English, but listeners could hear it in Icelandic hopefully because we’ll be able to translate it in real time.” President Guðni Th. Jóhannesson said with regard to the innovations that it will be essential for the future of the Icelandic language to have a place in the digital sphere as well.",Society,0,0,0,0,1,0
2,Iceland Review,Buster Takes Over from Tindur,2022/11/10,"A new drug dog, Buster, will begin his duties in the Westfjords police force. The dog he will be replacing, named Tindur, will be retiring next year. Steinar Gunnarsson, a police officer in the Westfjords, was responsible for training Buster and handing him over to his new supervisors. Pictured are Tindur and Buster with their supervisors, Þór Guðmundsson and Marín Elvarsdóttir. According to the announcement, Tindur has served with Westfjords police for many years, but is now in his senior years. In the announcement on Facebook, Westfjords police stated: “We expect a lot from Buster and believe that he will be just as good as Tindur.”",Society,0,0,0,0,1,0
3,Iceland Review,Iceland Moves to Reduce Marine Bycatch in Light of New US Import Regulations,2022/11/09,"Icelandic regulators are making moves to conform to new regulations of seafood imports in the United States, according to the latest information from the Ministry of Food, Agriculture, and Fisheries. In an effort to promote more sustainable fishing practices among exporting nations, the US has announced the introduction of new regulations which limit the acceptable amount of marine bycatch produced by fishing. Originally announced in 2016 with a 5-year grace period for nations to conform to the new regulations, the implementation has been delayed in part due to the COVID-19 pandemic, leaving Icelandic fisheries extra time to meet the new rules. Especially important in the Icelandic context is the amount of seabirds and seals affected by lumpfish fishing, a fishery traditionally for small boat fishermen. Some Icelanders have expressed concerns that the new regulations will disproportionately affect small-scale rural fishermen, who are already suffering economically. According to the Ministry of Food, Agriculture, and Fisheries, Iceland has already launched measures in response to the new US regulations. Increased monitoring is being implemented, using ship logs, drones, and geospatial modelling to better understand the distribution of bycatch. In response to the poor state of the seal population in Iceland, the direct hunting of seals has been banned. It is now forbidden to shoot seals to scare them away from fish farms, for instance. Other methods are also being investigated to reduce bycatch, such as the use of sound repellents on fishing gear. By both increasing the monitoring of wild fishing stocks, and also increasingly monitoring registered bycatch, Icelandic authorities hope to gain a fuller picture of their success in implementing these changes. Another concern is that the relatively higher bycatch of smaller fisheries, such as lumpfish, could adversely affect the status of larger, more lucrative fisheries, such as cod. According to the Ministry of Food, Agriculture, and Fisheries, while it is certain that seafood from fisheries with bycatch in excess of US guidelines will be prevented from entering the market, there is as of yet no final word on how seafood from other fisheries will be handled. It is also as of yet unclear whether the steps taken by Icelandic authorities will be considered sufficient to meet the US conditions. The US regulations, after a delay, are now slated to come into effect on January 1, 2024.    ","Nature,Society",0,0,1,0,1,0
4,Iceland Review,Mouse Infestation “Unlike Anything” Exterminator Has Seen,2022/11/08,"In an interview with RÚV, a seasoned exterminator has stated that Iceland is currently experiencing a mouse infestation the likes of which he’s never seen. He encourages people to take the necessary precautions. Despite their small stature, mice can be an outsized pest for homeowners. Árni Logi Sigurbjörnsson, an exterminator of 43 years, has been busy over the past days – in light of a countrywide mouse infestation. “The infestation traces its roots to favourable weather conditions,” Árni told RÚV. “Flush growth of vegetation last spring has meant plenty of nourishment for mice. Then when you have these long days of rain and the temperature begins to drop – hovering around freezing during nights – they begin to seek shelter in cars and homes, cottages and bales, because mouseholes aren’t exactly ideal.” Árni recommends that individuals take good care of their possessions by taking the necessary precautions and installing mousetraps; mice can squeeze in through holes as small as ten millimetres. “I encourage people to be on their guard because mice, even though they’re small, can wreak great damage.”            ",Society,0,0,0,0,1,0
5,Iceland Review,Protests in Front of Parliament in Wake of Deportations,2022/11/07,"Protestors last week flocked to Austurvöllur square in front of Iceland’s parliament in response to the recent deportation of Icelandic refugees. The protests took place Thursday, November 3, and Sunday, November 6 with some thousand people in attendance. The recent wave of deportations is the largest in recent history in Iceland, with some refugees being deported as their applications for asylum status were still under consideration by the Directorate of Immigration. Isavia, the company responsible for running Keflavík International Airport, has also come under critique for its involvement in the deportations. The Journalists’ Association of Iceland has accused Isavia of obstructing the work of journalists covering the deportations, turning floodlights against a crowd of reporters. Isavia has published a statement regretting their involvement, saying that they were following police instructions, who requested that Isavia staff prevent filming of the deportations. Fólk streymir á Austurvöll til að þess að mótmæla ómannúðlegri brottvisun hælisleitenda pic.twitter.com/hmwgcEeMLC The above video from Pirate Party MP Gísli Ólafsson shows a glimpse of the crowd present at the Thursday protests.   Icelandic police forces have also faced criticism for their treatment of the deported individuals, with one video showing a refugee man being forcefully removed from his wheelchair. According to Icelandic police, they are now considering having vehicles more suitable for wheelchairs. Further critique has been raised by the confiscation of refugees’ phones. Icelandic police state that the refugees’ phones were taken from them in order to ensure their safety. Helgi Valberg Jensson, Chief Legal Office of the National Police, stated to Vísir: “We had individuals in custody, and it was our duty to ensure their safety.  Whether this needs to be revised is something we will consider moving forward.” Police body cameras were also reported to have been turned off during portions of the raids. Helgi has stated that this for the privacy of individuals who may feel uncomfortable. Among the critics of the recent deportations are the United Nations Children’s Fund in Iceland, the Icelandic branch of Amnesty International, the Disabled Persons’ Association, the Red Cross in Iceland and the Icelandic Teachers’ Association.","Politics,Society",0,0,0,1,1,0
6,Iceland Review,Council of Europe to be Held in Reykjavík,2022/11/07,"The Council of Europe is to be held in Reykjavík in May of next year. The meeting is to be the fourth-ever meeting in the organisation’s 73-year history, taking place 16-17 May, 2023. The Council of Europe, a distinct organisation from the European Union, is an international body tasked with upholding human rights and rule of law in Europe. Founded after the Second World War, its best-known body is the European Court of Human Rights. Faced with new crises in Europe, from the war in Ukraine and the accompanying energy crisis to the economic disruptions of the global COVID-19 pandemic, the organisation has announced that it is time to redouble efforts to promote democracy and justice in Europe. Some 46 nations are party to the Council of Europe #Breaking @coe Committee of Ministers just adopted decision to hold 4th Summit of Heads of State/Gov in 🇮🇸Reykjavik in May 2023. Opportunity for leaders of 46 Council of Europe Member States to unite & recommit to the core principles – human rights, democracy & rule of law. pic.twitter.com/wp2CuASGMf In a press release from the Council of Europe, Prime Minister Katrín Jakobsdóttir stated: “It is a great honour for Iceland to be the host of the 4th Summit of Heads of State and Government. Iceland is convinced that the Council of Europe – the continent’s oldest and leading pan-European organization – has a critical role to play as the region’s guardian of human rights, democracy, and the rule of law. Together, we must continue to ensure that the Council of Europe is fit for purpose to meet current and future challenges as well as the expectations of future generations. We applaud the Irish presidency for their in-depth work on the role of the Council and look forward to working with all the Council’s Member States to reaffirm our common commitment to the Council’s core principles.” Council of Europe Secretary General Marija Pejčinović Burić also stated: “The decision to hold a Fourth Summit of Heads of State and Governments is timely and right. I congratulate the Committee of Ministers on taking it. The Summit will be an opportunity for all our member states to recommit to the values that underpin democratic security in our fast-changing continent.”","Politics,Society",0,0,0,1,1,0
7,Iceland Review,Opioid Abuse Among Young People Growing More Common,2022/11/04,"Opioid abuse among individuals 25 years old and younger has grown more common, according to Dr. Valgerður Rúnarsdóttir, the Medical Director of SÁÁ (the National Centre of Addiction Medicine). Valgerður addressed the audience at a conference at the Hilton Nordica hotel yesterday, Mbl.is reports. Speaking to Iceland Review last month, Dr. Valgerður Rúnarsdóttir, the Medical Director of SÁÁ (National Centre of Addiction Medicine) stated that talk of a “new opioid crisis” in Iceland was not an exaggeration. Referring to the data, Valgerður noted that between 2010 and 2022, the percentage of patients being treated for opioid addiction at the Vogur detox centre and rehabilitation hospital rose by approximately 200% (from 10.3% to ca. 30% of the clinic’s patients). Furthermore, these patients are twice as likely to relapse than others, and thirty-five of those who have sought treatment over the past five years have died. Read More: In Harm’s Way: Harm Reduction in the Age of Opioids Yesterday, Valgerður addressed the audience at a conference held by SÁÁ and FÁR (the Association of Alcohol and Drug Advisors) at the Hilton Nordica hotel in Reykjavík between November 2 and 3. According to her lecture, prescription opioid abuse – including opioids like Contalgin, Oxycontin, and Fentanyl – among individuals 25 and younger has grown more common. Although opioid abuse is on the rise, alcohol is still the most commonly abused intoxicant in Iceland. Speaking to Mbl.is, Valgerður noted that the problems were “of a different nature” when individuals are abusing potent prescription drugs. Valgerður also noted that the percentage of working individuals who are admitted to the Vogur rehabilitation centre has declined to 30%. Given this, it was important that the Icelandic Vocational Rehabilitation Fund (VIRK) no longer mandates a 3-6 month sober period as a condition for entering into vocational rehabilitation. The aforementioned conference was the first to be sponsored jointly by SÁÁ and FÁR. Valgerður told Mbl.is that many parties, including VIRK, FÁR, SÁÁ, and municipal authorities, are determined to work together to combat substance abuse in Iceland.",Society,0,0,0,0,1,0
8,Iceland Review,Arrest of Refugee Raises Critique,2022/11/03,"Freyja Haraldsdóttir, an advocate for the disabled in the capital area, said that the rights of a disabled refugee were not respected when he was arrested last night, November 2. A lawyer representing the man is now preparing a complaint to the European Court of Human Rights, according to Vísir. The man, originally from Iraq, is in Iceland with a family of five, all of whom were scheduled to be deported to Greece last night. This is alongside several other deportation-related arrests that have been made in the last week, with several refugees and asylum seekers now in police custody. He is also wheelchair-bound and has received important medical treatment during his time in Iceland. His entire family was arrested yesterday and taken to a hotel in Hafnafjörður for their deportation, but the man was later removed from the hotel by police officers. Freyja Haraldsdóttir has stated to Vísir that the man’s rights were violated when he has not provided with an advocate. As a disabled person, Freyja stated, he was in a particularly vulnerable position: “He has the right to have a lawyer to support him, both to inform him about what is going on and what the next steps are, to ensure that he understands everything that is going on, make sure that he can speak his mind, and make sure that appropriate accommodations are made so that he does not suffer harm in his situation.” The incident has sparked controversy on social media, with a photo depicting police officers forcibly removing the man from his wheelchair in wide circulation.  ",Society,0,0,0,0,1,0
9,Iceland Review,September Recording-Breaking Month for Tourism,2022/11/02,"In a report by Statistics Iceland, overnight stays in hotel accommodations in Iceland are shown to be 7,144,400 for the year so far. This represents a 2% increase from 2018, the previous record-breaking year before the global pandemic. Should the trend hold, 2022 could be the busiest year ever in the Icelandic tourism industry. In September of this year, some 853,500 overnight stays in hotel accommodations were recorded, representing a 27% increase from September 2021. Approximately 81% of these overnight stays can be accounted for by foreign tourists, or around 691,000 stays. Icelanders and residents of Iceland accounted for the remaining 19%, at around 161,000 overnight stays. Compared with September 2021, this represents a slight decrease in the amount of domestic tourism, when Icelanders were generally more represented during the travel restrictions imposed by COVID-19.   Not surprisingly, the region of Iceland with the largest yearly increase was the capital region, with an 11.8% increase in overnight stays from September 2021 to September 2022. Following the capital region were West Iceland and the West Fjords, with an 8.3% increase in the same period. The region least affected by the recent upswing was East Iceland, with a negligible 0.5% increase in overnight stays year-on-year. The total supply of hotel rooms has also risen since last year. This summer saw an acute shortage of accommodations in Iceland, driving many prices up. Statistics Iceland reports now an 8% increase in hotel capacity, with an average occupancy over the year of around 79%.  ","Society,Travel",0,0,0,0,1,0
